tweetId,tweet,favorites
1680321491957604352,"@k_h99kh @AzizbagBag @AbdulazizSNA #عبدالعزيز_بن_سعود_بن_نايف

محشوم يا سيف البطولات محشوم
عبدالعزيز  الي على الراس قدره

ماعاش من يلمز  اساءات وعلوم
ضعيف حتى لو نوى لك بغدره
@AzizbagBag https://t.co/YxzPE4eCaZ",0
1772565606987894784,@DrewPavlou Yes you did https://t.co/1n223rMMqE,540
1678096199679725568,Look out for the WEF … https://t.co/wMaB901kqN,215
1661071840146513920,"🍿 | Michelle Rodriguez, quién interpreta a Letty en #FastX, sobre la inclusión en las películas y series actuales:

""Creo que todo es tan estupido, ya sabes, las minorias y Hollywood... Dejen de robar superhéroes de la gente blanca e inventen los suyos."" https://t.co/2Sr4LQFKcO",3410
1527462342761402368,My administration has been working to address the encampment at Woodland Park from day one – it is inhumane and unacceptable for people to suffer in parks and on sidewalks. The success of this outreach effort in referring over 80 people to shelter shows we can make progress. 🧵 https://t.co/W6KwkAzi0u,208
1534667479573843968,"Paul Pelosi's DUI charges have been dropped.

Is anyone really surprised?",46858
1637895994762199040,donald trump’s mugshot got me in tears😭 https://t.co/wg3Y9jpqNu,5956
1639666743353266176,Why does the pope look like hes about to close out a live set at rolling loud https://t.co/QpZimjmyAw,21516
1594752254728278016,This is fine https://t.co/nKNnRmM81Q,5493
1665829620686688256,"JUST IN: Lululemon CEO Calvin McDonald doubles down on his decision to fire two employees who called the police after three men robbed their store in Georgia.

""It's only merchandise,"" he said.

“We have a zero-tolerance policy that we train our educators on around engaging https://t.co/8DB0gDq93b",32384
1688234454769340416,"@AlexKokcharov @ukr_arthistory I guess we, in the West, think differently about it. If Russian is your mother tongue, you are a Russian.",29
1533129540842639360,Are you awake yet? https://t.co/LCAcpogqxV,3198
1535261648885272576,"1. Gas highest ever 

2. Rent highest ever 

3. Inflation highest ever 

4. Consumer confidence lowest 

Erections have consequences. Still not wanna believe this?",277
1530932642572533760,"Did yall know the ex police officer that got killed in the NY mass shooting CREATED A WATER POWERED ENGINE FOR CARS?   They shot other people to make it look like it wasn't a TARGETED HIT!!! WITH THESE HIGH ASS GAS PRICES TODAY....

LIKE MJ SAID ""THEY DONT REALLY CARE BOUT US""",97
1627034599183290368,WTH! Are you kidding me?? https://t.co/dhBOBD8l0C,26893
1621897467884376064,Snowden reveals HAARP’s Global Assassination Agenda 👆 https://t.co/KDJsNUwbAZ,368
1629500570082967552,"DOUBLE-TAKE: Uh-oh! Zelensky's latest blooper makes its slip on live television broadcast, where possible BODY DOUBLE fails in his ONE JOB of laying low, putting to question the reality of his heroic visits to Bakhmut and Kherson warzones - though the former actor/comedian's https://t.co/wzA4C5UcOj",240
1632216963601637376,"Not verified 
Military units now searching for George Soros who is missing. He did not attend his speech . 

Assassinations will work in both directions.
We can only hope https://t.co/5TkPwKVzAA",2983
1638203974842220544,FREE MY DAWG 🙏🏽 https://t.co/A7Ly478QPk,67549
1638908681092751360,The unelected ‘World Health Leader’. https://t.co/HzHYWFaCGa,9603
1645536149908357120,Crazy on steroids. https://t.co/QxogPnZH4v,1124
1645984842411130880,"Wow Hillary just endorsed Rob DeShamtist
https://t.co/wgZtUQfZt6",88
1675085673823453184,"RT @taj_taj5: برداشت تون چیه ؟
نداریم نمونه ایشون رو ...
هرزمان ابهت ایشون ومیبینم حس غرور و افتخار میکنم.
تنها یادگار پادشاهی ایران زمین .…",0
1656141293276332032,Fact: the EU and Ukraine endorsing “Europe Day” instead of Victory Day is a tacit endorsement of Nazism.,1202
1544313690354290688,R KELLY ESCAPED?!?! 😭😭😭 https://t.co/0cM6Gy7x3R,74218
1616739049544323072,"Dear HMRC, I owe £242.64 to be paid by the 31st January. Just explain to me why I should pay the full amount given those in Govt do not? Asking for a nation",21606
1616590124510478336,"@AntonioSabatoJr Bill Gates will soon be handcuffed and charged with several crimes. He alone has done more damage to humanity than any other person in modern times. It is only a matter of time, behind closed doors it is in the works. Many will soon be indicted.",490
1644339059215548416,"13 years of Tory failure has broken our justice system. 

Victims wait months if not years for justice, while dangerous criminals avoid prison. 

Labour will prevent crime, punish criminals, and protect communities. https://t.co/gSBv5oyO0Q",2365
1684362786481098752,this new Twitter like animation is insane #TwitterX https://t.co/FsPGhE57vy,26286
1673649140893380608,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader. - John Quincy Adams",357
1690369814760751104,@Mk10Berkute0886 富山沖に墜落したF35は複座だぜ。事実を知らん妄想屋だなｗ,21
1662406531122597888,"Jacquelin is so brave and healing well after the dog attack

Prayers as she’s still struggling to recover 1 year later  

Guess which breed it was involved in the attack where she was bitten over 800 times? https://t.co/lug8JAUap4",14340
1674762868451942400,"Com o Pix mandado por 88 milhões de cpf diferentes, e com a interferência da Cia, Biden etc, Bolsonaro GANHOU a eleição em disparado! Fomos roubados e temos que anular a essa eleição e nosso legítimo Presidente Bolsonaro assumir! https://t.co/InJfyRdYT0",223
1560627020844961792,"Fentanyl is the leading cause of death among American adults.

Until @POTUS secures our southern border, this crisis will only get worse.",2058
1592949807920058368,"Our media is ignoring the uprising against the left in Brazil.

This is Brazil👇🏼 https://t.co/nu9M9Ca6k3",60087
1659629893179588608,~ #NanukaStambolishvili https://t.co/YqQ8ZcljgP,68
1681154392924508160,"〈放置されてきた宮島の神鹿たち❗️ 彼らを救うために山﨑教授への取材記事を閲覧してください‼️〉
　宮島の神鹿たちは10年以上も放置され続けてきました。記事の閲覧回数が伸びれば、より多くの人々が鹿たちの現状を知ることができます🦌
https://t.co/KMSP0rXrVt",605
1647334989045047296,"""Trans people do drink beer.""

Trans activist Katy Montgomerie defends Bud Light's partnership with trans star Dylan Mulvaney.

@andrejpwalker | @louddanielle | @KatyMontgomerie https://t.co/ehO4A2sSjb",610
1561367521504251904,"China has a quantum computer a million times faster than Google, quantum communication over 1000 kilometers, autonomous drone swarms that can fly through dense forests, and quantum detectors that might be able to find our submarines.

https://t.co/FeygdRIgom",392
1632552744027320320,"In April, Discover Card will begin tracking gun purchases made by their 55 million cardholders. 

You’ve been warned!",1272
1652541990226018304,"Notre Dame burning. All Frenchmen know who did it, yet no reprisals. https://t.co/9jFnFVYPc1",9713
1690986455277924352,"Where Labour runs something, they run it badly. 

Like London and Wales. 

Big rise in Welsh patients fleeing Labour-run NHS Wales to @Conservatives run NHS in England. 

@WelshConserv @DavidTCDavies 
#LabourChaos https://t.co/FDxSd0Xaml",107
1528478546024226816,Reposted. https://t.co/doh8sx19Cn,1385
1689077357120823296,My friend who is an elementary school teacher in New Mexico sent me this picture - what they confiscated this month https://t.co/DE8VlVT8v8,2132
1593754426518519808,@driphurts Is Adams going get 3 fouls before tip off again?,3
1594087579208413184,"Last year, I promised that when I became Speaker, I would remove Rep. Ilhan Omar from the House Foreign Affairs Committee based on her repeated anti-semitic and anti-American remarks.

I'm keeping that promise. https://t.co/04blBx3neD",50098
1599939717826416640,"All the nightmares about climate change and the sea level hasn’t changed and the planet hasn’t instantly exploded in a ball of fire.

But the climate cult members in the Gov have you in $30T in debt, destroyed America’s energy independence, &amp; will force you to drive an EV.",16324
1564072252202782720,@macrotargeting @TheRickWilson We sense a trend… https://t.co/LSMTfx5dfI,163
1615710800500383744,".@Target raised its minimum wage for all employees to $24/hr &amp; all who work as little as 24hrs/wk gets health insurance. Target will prove: 1. The labor problem isn't people are lazy, it's that they aren't paid enough. 2. More ppl will shop at a store that treats employees right.",75170
1651339201542246400,"@ZoAndBehold Less than 1/10th of 1% of the population of Montana! 

Sit down!",449
1584585527126536192,"They pay higher electricity bills in Texas, in Florida, in Indiana than they do in the state of California.

Fox News might not be interested in the facts -- but we are. https://t.co/hLyxwAEM3W",8404
1544371827136421888,"What could go wrong?

DeSantis signs bill requiring Florida students, professors to register political views with state https://t.co/GK5oU2pAt5",9846
1603924162505891840,"@RobertKennedyJr Never forget George Bush was the head of the CIA when JFK was murdered 
Years later Regan would be shot 
What the public wasn’t told at the time was Hinkley’s parents were close friends of the Bush’s 
Imagine that.",3426
1677445744100343808,"Biden just farted, but he said sorry so it’s fine.  https://t.co/0TaDg2abEk",18203
1628087414722895872,"“Just this weekend at a caucus panel, a charter school parent shared how her 1st grader had been suspended 16 times! That’s not how we should be treating our kids! @GovKathyHochul” -Zakiyah from @AQE_NY #DontRaiseTheCap https://t.co/7CeqZk40Wh",10
